State,District,Year,Rural_Urban,Population,Improved_Water_Access_%,Unimproved_Water_Access_%,Clean_Cooking_Fuel_%,Solid_Fuel_%,Migration_Rate_%,Literacy_Rate_%,Sanitation_Coverage_%,Avg_Income_INR,Region
Andhra Pradesh,Guntur,2011,Rural,450000,68.2,31.8,22.5,77.5,5.2,67.4,45.3,85000,South
Andhra Pradesh,Guntur,2016,Rural,470000,74.1,25.9,31.2,68.8,6.1,71.2,55.6,95000,South
Andhra Pradesh,Guntur,2021,Rural,490000,81.3,18.7,44.8,55.2,7.3,75.9,66.4,112000,South
Andhra Pradesh,Guntur,2011,Urban,320000,92.4,7.6,78.3,21.7,8.4,89.2,88.7,145000,South
Andhra Pradesh,Guntur,2016,Urban,355000,95.1,4.9,83.6,16.4,9.2,91.5,92.4,168000,South
Andhra Pradesh,Guntur,2021,Urban,390000,97.2,2.8,89.1,10.9,10.1,93.8,96.1,198000,South
Andhra Pradesh,Visakhapatnam,2011,Rural,380000,62.5,37.5,19.8,80.2,4.8,63.1,38.9,78000,South
Andhra Pradesh,Visakhapatnam,2016,Rural,400000,70.3,29.7,28.4,71.6,5.5,68.4,49.2,89000,South
Andhra Pradesh,Visakhapatnam,2021,Rural,425000,78.9,21.1,40.1,59.9,6.8,73.6,61.5,108000,South
Andhra Pradesh,Visakhapatnam,2011,Urban,290000,90.1,9.9,75.2,24.8,7.9,87.3,85.4,138000,South
Andhra Pradesh,Visakhapatnam,2016,Urban,320000,93.8,6.2,81.4,18.6,8.7,90.1,90.2,159000,South
Andhra Pradesh,Visakhapatnam,2021,Urban,355000,96.5,3.5,87.6,12.4,9.6,92.7,94.8,192000,South
Bihar,Patna,2011,Rural,780000,41.2,58.8,8.4,91.6,12.5,52.3,18.4,52000,East
Bihar,Patna,2016,Rural,830000,52.6,47.4,13.7,86.3,14.2,57.8,28.9,63000,East
Bihar,Patna,2021,Rural,880000,63.4,36.6,22.5,77.5,16.8,63.5,42.1,79000,East
Bihar,Patna,2011,Urban,420000,78.3,21.7,52.4,47.6,15.3,74.8,65.2,98000,East
Bihar,Patna,2016,Urban,460000,84.7,15.3,61.8,38.2,17.1,79.3,74.6,119000,East
Bihar,Patna,2021,Urban,505000,89.2,10.8,72.3,27.7,19.4,84.1,82.5,148000,East
Bihar,Muzaffarpur,2011,Rural,650000,35.8,64.2,6.2,93.8,13.8,48.6,14.2,45000,East
Bihar,Muzaffarpur,2016,Rural,695000,46.9,53.1,11.4,88.6,15.6,54.2,24.7,56000,East
Bihar,Muzaffarpur,2021,Rural,740000,58.7,41.3,19.8,80.2,18.2,60.8,38.5,72000,East
Bihar,Muzaffarpur,2011,Urban,180000,72.4,27.6,44.8,55.2,16.4,69.5,58.3,88000,East
Bihar,Muzaffarpur,2016,Urban,205000,79.6,20.4,55.3,44.7,18.3,75.1,68.9,108000,East
Bihar,Muzaffarpur,2021,Urban,232000,85.8,14.2,66.7,33.3,21.1,80.6,78.2,135000,East
Gujarat,Ahmedabad,2011,Rural,560000,72.4,27.6,35.6,64.4,6.8,71.8,52.4,92000,West
Gujarat,Ahmedabad,2016,Rural,595000,79.8,20.2,46.3,53.7,7.5,76.4,63.7,108000,West
Gujarat,Ahmedabad,2021,Rural,632000,86.5,13.5,58.9,41.1,8.4,81.2,74.9,132000,West
Gujarat,Ahmedabad,2011,Urban,2800000,94.6,5.4,82.4,17.6,9.3,91.4,91.3,162000,West
Gujarat,Ahmedabad,2016,Urban,3100000,96.8,3.2,87.9,12.1,10.2,93.6,94.7,188000,West
Gujarat,Ahmedabad,2021,Urban,3420000,98.3,1.7,92.4,7.6,11.4,95.4,97.2,225000,West
Gujarat,Surat,2011,Rural,380000,68.9,31.1,30.2,69.8,7.2,68.5,47.8,88000,West
Gujarat,Surat,2016,Rural,408000,76.4,23.6,42.5,57.5,8.1,73.8,59.4,105000,West
Gujarat,Surat,2021,Rural,438000,83.7,16.3,55.8,44.2,9.2,79.3,71.2,128000,West
Gujarat,Surat,2011,Urban,2600000,93.2,6.8,80.1,19.9,10.5,89.8,89.6,158000,West
Gujarat,Surat,2016,Urban,2850000,95.9,4.1,86.4,13.6,11.6,92.3,93.5,182000,West
Gujarat,Surat,2021,Urban,3120000,97.8,2.2,91.7,8.3,12.8,94.7,96.6,218000,West
Jharkhand,Ranchi,2011,Rural,520000,38.4,61.6,7.8,92.2,14.6,50.2,16.8,48000,East
Jharkhand,Ranchi,2016,Rural,558000,49.7,50.3,12.9,87.1,16.5,56.4,27.3,60000,East
Jharkhand,Ranchi,2021,Rural,598000,61.2,38.8,21.4,78.6,19.1,62.8,40.6,76000,East
Jharkhand,Ranchi,2011,Urban,310000,81.5,18.5,58.6,41.4,12.8,76.4,70.4,105000,East
Jharkhand,Ranchi,2016,Urban,348000,86.9,13.1,67.8,32.2,14.7,81.2,78.9,128000,East
Jharkhand,Ranchi,2021,Urban,390000,91.4,8.6,77.3,22.7,17.2,86.5,86.3,158000,East
Karnataka,Bengaluru,2011,Rural,420000,71.8,28.2,33.4,66.6,5.8,72.6,50.8,94000,South
Karnataka,Bengaluru,2016,Rural,448000,79.2,20.8,44.7,55.3,6.5,77.4,62.3,112000,South
Karnataka,Bengaluru,2021,Rural,478000,85.8,14.2,57.3,42.7,7.4,82.6,73.5,138000,South
Karnataka,Bengaluru,2011,Urban,5800000,95.3,4.7,84.2,15.8,8.6,92.8,92.6,172000,South
Karnataka,Bengaluru,2016,Urban,6500000,97.1,2.9,89.5,10.5,9.8,94.9,95.8,201000,South
Karnataka,Bengaluru,2021,Urban,7200000,98.6,1.4,93.8,6.2,11.2,96.7,97.9,242000,South
Karnataka,Mysuru,2011,Rural,340000,65.4,34.6,25.8,74.2,5.1,68.9,43.2,82000,South
Karnataka,Mysuru,2016,Rural,362000,73.7,26.3,36.4,63.6,5.8,74.2,54.6,98000,South
Karnataka,Mysuru,2021,Rural,386000,81.9,18.1,48.9,51.1,6.7,79.8,66.4,120000,South
Karnataka,Mysuru,2011,Urban,850000,91.8,8.2,77.4,22.6,7.8,88.6,87.5,142000,South
Karnataka,Mysuru,2016,Urban,948000,94.6,5.4,83.8,16.2,8.9,91.4,91.8,166000,South
Karnataka,Mysuru,2021,Urban,1052000,96.9,3.1,89.4,10.6,10.2,93.9,95.4,196000,South
Kerala,Thiruvananthapuram,2011,Rural,480000,84.5,15.5,48.6,51.4,3.8,90.6,72.8,115000,South
Kerala,Thiruvananthapuram,2016,Rural,495000,89.4,10.6,58.9,41.1,4.1,92.4,80.5,135000,South
Kerala,Thiruvananthapuram,2021,Rural,512000,93.2,6.8,70.4,29.6,4.5,94.1,87.6,162000,South
Kerala,Thiruvananthapuram,2011,Urban,620000,96.8,3.2,88.4,11.6,5.2,95.8,95.4,178000,South
Kerala,Thiruvananthapuram,2016,Urban,658000,98.1,1.9,92.6,7.4,5.8,97.1,97.2,208000,South
Kerala,Thiruvananthapuram,2021,Urban,698000,99.2,0.8,96.3,3.7,6.4,98.2,98.8,248000,South
Kerala,Kozhikode,2011,Rural,425000,82.3,17.7,44.2,55.8,3.5,89.2,69.4,108000,South
Kerala,Kozhikode,2016,Rural,438000,87.6,12.4,55.1,44.9,3.9,91.3,77.8,128000,South
Kerala,Kozhikode,2021,Rural,452000,91.8,8.2,67.8,32.2,4.2,93.2,85.4,155000,South
Kerala,Kozhikode,2011,Urban,545000,95.4,4.6,85.6,14.4,4.8,94.6,93.2,168000,South
Kerala,Kozhikode,2016,Urban,578000,97.4,2.6,90.8,9.2,5.4,96.4,95.9,196000,South
Kerala,Kozhikode,2021,Urban,614000,98.8,1.2,94.9,5.1,6.1,97.8,98.2,235000,South
Madhya Pradesh,Bhopal,2011,Rural,580000,45.6,54.4,11.2,88.8,10.8,55.4,22.6,58000,Central
Madhya Pradesh,Bhopal,2016,Rural,624000,56.8,43.2,18.4,81.6,12.3,61.2,34.8,71000,Central
Madhya Pradesh,Bhopal,2021,Rural,670000,68.4,31.6,28.9,71.1,14.5,67.6,48.5,89000,Central
Madhya Pradesh,Bhopal,2011,Urban,850000,84.2,15.8,64.8,35.2,12.6,80.4,76.8,118000,Central
Madhya Pradesh,Bhopal,2016,Urban,935000,88.9,11.1,73.5,26.5,14.2,85.1,83.5,142000,Central
Madhya Pradesh,Bhopal,2021,Urban,1028000,92.8,7.2,82.4,17.6,16.8,89.8,89.7,175000,Central
Madhya Pradesh,Indore,2011,Rural,420000,48.9,51.1,13.5,86.5,11.4,57.8,25.4,62000,Central
Madhya Pradesh,Indore,2016,Rural,452000,59.7,40.3,20.8,79.2,12.9,63.5,37.2,75000,Central
Madhya Pradesh,Indore,2021,Rural,486000,71.3,28.7,31.6,68.4,15.2,69.8,51.3,94000,Central
Madhya Pradesh,Indore,2011,Urban,1480000,86.5,13.5,68.4,31.6,13.8,82.6,79.4,125000,Central
Madhya Pradesh,Indore,2016,Urban,1628000,90.8,9.2,76.9,23.1,15.6,87.3,86.2,150000,Central
Madhya Pradesh,Indore,2021,Urban,1790000,94.2,5.8,85.6,14.4,18.4,91.6,91.8,185000,Central
Maharashtra,Mumbai,2011,Rural,620000,75.8,24.2,38.6,61.4,7.4,74.8,56.8,98000,West
Maharashtra,Mumbai,2016,Rural,658000,82.4,17.6,50.2,49.8,8.2,79.6,68.4,118000,West
Maharashtra,Mumbai,2021,Rural,698000,88.6,11.4,62.8,37.2,9.4,84.8,79.2,145000,West
Maharashtra,Mumbai,2011,Urban,12300000,96.2,3.8,86.4,13.6,10.8,93.2,93.8,182000,West
Maharashtra,Mumbai,2016,Urban,13200000,97.8,2.2,91.2,8.8,12.1,95.4,96.4,215000,West
Maharashtra,Mumbai,2021,Urban,14200000,98.9,1.1,94.8,5.2,13.6,97.1,98.2,258000,West
Maharashtra,Pune,2011,Rural,480000,72.4,27.6,35.8,64.2,6.8,72.5,53.4,92000,West
Maharashtra,Pune,2016,Rural,514000,80.1,19.9,47.4,52.6,7.6,77.8,65.1,112000,West
Maharashtra,Pune,2021,Rural,550000,87.2,12.8,59.9,40.1,8.7,83.2,76.5,138000,West
Maharashtra,Pune,2011,Urban,3100000,94.8,5.2,83.6,16.4,9.5,91.6,92.1,172000,West
Maharashtra,Pune,2016,Urban,3420000,96.9,3.1,89.1,10.9,10.8,93.9,95.4,202000,West
Maharashtra,Pune,2021,Urban,3780000,98.4,1.6,93.6,6.4,12.3,96.2,97.6,245000,West
Odisha,Bhubaneswar,2011,Rural,560000,42.8,57.2,9.4,90.6,13.2,52.6,19.8,50000,East
Odisha,Bhubaneswar,2016,Rural,596000,54.3,45.7,15.8,84.2,15.1,58.4,30.6,62000,East
Odisha,Bhubaneswar,2021,Rural,635000,66.2,33.8,25.4,74.6,17.8,64.8,44.2,78000,East
Odisha,Bhubaneswar,2011,Urban,650000,82.6,17.4,60.4,39.6,14.5,78.2,72.4,112000,East
Odisha,Bhubaneswar,2016,Urban,716000,87.8,12.2,69.8,30.2,16.4,83.5,80.6,136000,East
Odisha,Bhubaneswar,2021,Urban,788000,92.4,7.6,79.4,20.6,19.2,88.6,87.8,168000,East
