State,Rural_Improvement_pp (2011→2021)
Chhattisgarh,23.599999999999994
Odisha,23.400000000000006
Uttar Pradesh,23.250000000000007
Jharkhand,22.800000000000004
Madhya Pradesh,22.599999999999994
Bihar,22.549999999999997
Rajasthan,22.4
Assam,22.0
West Bengal,21.799999999999997
Telangana,16.19999999999999
Karnataka,15.25
Andhra Pradesh,14.75
Gujarat,14.449999999999989
Uttarakhand,14.400000000000006
Maharashtra,13.800000000000011
Tamil Nadu,13.750000000000014
Punjab,13.299999999999983
Himachal Pradesh,11.0
Kerala,9.099999999999994
Goa,8.399999999999991
Delhi,7.3999999999999915
