State,Region,Year,Rural_Urban,water_access,clean_fuel,literacy_rate,sanitation,avg_income,migration_rate
Andhra Pradesh,South,2011,Rural,65.35,21.15,65.25,42.1,81500.0,5.0
Andhra Pradesh,South,2011,Urban,91.25,76.75,88.25,87.05,141500.0,8.15
Andhra Pradesh,South,2016,Rural,72.2,29.8,69.8,52.4,92000.0,5.8
Andhra Pradesh,South,2016,Urban,94.45,82.5,90.8,91.3,163500.0,8.95
Andhra Pradesh,South,2021,Rural,80.1,42.45,74.75,63.95,110000.0,7.05
Andhra Pradesh,South,2021,Urban,96.85,88.35,93.25,95.45,195000.0,9.85
Assam,Northeast,2011,Rural,46.8,10.4,56.8,24.2,54000.0,9.8
Assam,Northeast,2011,Urban,84.2,62.8,80.2,75.8,118000.0,13.4
Assam,Northeast,2016,Rural,57.4,17.2,62.4,35.8,66000.0,11.2
Assam,Northeast,2016,Urban,89.4,72.4,85.8,83.4,142000.0,15.2
Assam,Northeast,2021,Rural,68.8,26.8,68.8,49.4,84000.0,13.1
Assam,Northeast,2021,Urban,93.6,82.1,90.8,89.8,178000.0,17.8
Bihar,East,2011,Rural,38.5,7.3,50.45,16.3,48500.0,13.15
Bihar,East,2011,Urban,75.35,48.6,72.15,61.75,93000.0,15.85
Bihar,East,2016,Rural,49.75,12.55,56.0,26.8,59500.0,14.9
Bihar,East,2016,Urban,82.15,58.55,77.2,71.75,113500.0,17.7
Bihar,East,2021,Rural,61.05,21.15,62.15,40.3,75500.0,17.5
Bihar,East,2021,Urban,87.5,69.5,82.35,80.35,141500.0,20.25
Chhattisgarh,Central,2011,Rural,40.2,8.8,50.4,17.6,48000.0,12.8
Chhattisgarh,Central,2011,Urban,80.4,56.8,76.8,70.8,108000.0,13.8
Chhattisgarh,Central,2016,Rural,51.6,14.6,56.8,28.4,60000.0,14.6
Chhattisgarh,Central,2016,Urban,86.2,66.4,82.2,79.2,132000.0,15.8
Chhattisgarh,Central,2021,Rural,63.8,23.4,63.4,42.1,76000.0,17.2
Chhattisgarh,Central,2021,Urban,91.2,76.2,87.6,86.4,162000.0,18.6
Delhi,North,2011,Rural,88.4,58.4,85.2,80.8,128000.0,8.4
Delhi,North,2011,Urban,97.4,89.4,94.8,96.2,198000.0,12.6
Delhi,North,2016,Rural,92.6,68.8,89.4,87.6,155000.0,9.4
Delhi,North,2016,Urban,98.6,93.8,96.8,97.8,238000.0,14.4
Delhi,North,2021,Rural,95.8,79.4,93.2,92.8,192000.0,10.8
Delhi,North,2021,Urban,99.4,97.2,98.4,99.1,288000.0,16.8
Goa,West,2011,Rural,86.4,52.4,88.4,74.8,125000.0,3.4
Goa,West,2011,Urban,96.8,88.4,95.2,94.8,178000.0,5.2
Goa,West,2016,Rural,91.2,63.8,91.2,82.6,148000.0,3.8
Goa,West,2016,Urban,98.2,93.2,97.1,97.2,212000.0,5.8
Goa,West,2021,Rural,94.8,75.4,93.8,89.4,182000.0,4.2
Goa,West,2021,Urban,99.2,96.8,98.6,98.8,258000.0,6.5
Gujarat,West,2011,Rural,70.65,32.9,70.15,50.1,90000.0,7.0
Gujarat,West,2011,Urban,93.9,81.25,90.6,90.45,160000.0,9.9
Gujarat,West,2016,Rural,78.1,44.4,75.1,61.55,106500.0,7.8
Gujarat,West,2016,Urban,96.35,87.15,92.95,94.1,185000.0,10.9
Gujarat,West,2021,Rural,85.1,57.35,80.25,73.05,130000.0,8.8
Gujarat,West,2021,Urban,98.05,92.05,95.05,96.9,221500.0,12.1
Himachal Pradesh,North,2011,Rural,82.4,45.6,82.8,68.4,98000.0,3.2
Himachal Pradesh,North,2011,Urban,95.2,86.4,92.8,93.4,162000.0,4.8
Himachal Pradesh,North,2016,Rural,88.6,57.8,86.4,78.2,118000.0,3.5
Himachal Pradesh,North,2016,Urban,97.4,91.8,95.1,96.2,192000.0,5.4
Himachal Pradesh,North,2021,Rural,93.4,70.4,90.2,86.8,145000.0,3.9
Himachal Pradesh,North,2021,Urban,98.9,95.6,97.2,98.4,235000.0,6.1
Jharkhand,East,2011,Rural,38.4,7.8,50.2,16.8,48000.0,14.6
Jharkhand,East,2011,Urban,81.5,58.6,76.4,70.4,105000.0,12.8
Jharkhand,East,2016,Rural,49.7,12.9,56.4,27.3,60000.0,16.5
Jharkhand,East,2016,Urban,86.9,67.8,81.2,78.9,128000.0,14.7
Jharkhand,East,2021,Rural,61.2,21.4,62.8,40.6,76000.0,19.1
Jharkhand,East,2021,Urban,91.4,77.3,86.5,86.3,158000.0,17.2
Karnataka,South,2011,Rural,68.6,29.6,70.75,47.0,88000.0,5.45
Karnataka,South,2011,Urban,93.55,80.8,90.7,90.05,157000.0,8.2
Karnataka,South,2016,Rural,76.45,40.55,75.8,58.45,105000.0,6.15
Karnataka,South,2016,Urban,95.85,86.65,93.15,93.8,183500.0,9.35
Karnataka,South,2021,Rural,83.85,53.1,81.2,69.95,129000.0,7.05
Karnataka,South,2021,Urban,97.75,91.6,95.3,96.65,219000.0,10.7
Kerala,South,2011,Rural,83.4,46.4,89.9,71.1,111500.0,3.65
Kerala,South,2011,Urban,96.1,87.0,95.2,94.3,173000.0,5.0
Kerala,South,2016,Rural,88.5,57.0,91.85,79.15,131500.0,4.0
Kerala,South,2016,Urban,97.75,91.7,96.75,96.55,202000.0,5.6
Kerala,South,2021,Rural,92.5,69.1,93.65,86.5,158500.0,4.35
Kerala,South,2021,Urban,99.0,95.6,98.0,98.5,241500.0,6.25
Madhya Pradesh,Central,2011,Rural,47.25,12.35,56.6,24.0,60000.0,11.1
Madhya Pradesh,Central,2011,Urban,85.35,66.6,81.5,78.1,121500.0,13.2
Madhya Pradesh,Central,2016,Rural,58.25,19.6,62.35,36.0,73000.0,12.6
Madhya Pradesh,Central,2016,Urban,89.85,75.2,86.2,84.85,146000.0,14.9
Madhya Pradesh,Central,2021,Rural,69.85,30.25,68.7,49.9,91500.0,14.85
Madhya Pradesh,Central,2021,Urban,93.5,84.0,90.7,90.75,180000.0,17.6
Maharashtra,West,2011,Rural,74.1,37.2,73.65,55.1,95000.0,7.1
Maharashtra,West,2011,Urban,95.5,85.0,92.4,92.95,177000.0,10.15
Maharashtra,West,2016,Rural,81.25,48.8,78.7,66.75,115000.0,7.9
Maharashtra,West,2016,Urban,97.35,90.15,94.65,95.9,208500.0,11.45
Maharashtra,West,2021,Rural,87.9,61.35,84.0,77.85,141500.0,9.05
